X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8478990.8784259,5315023.39819943,2023/10/22 04:00:00+00,1015,1015,500 GLENWOOD AVE    ,False,CRIMINAL MISCHIEF,43.020045,-76.1680709999999,36
-8478147.68860893,5322330.9217557,2024/01/13 05:00:00+00,1910,1910,300 TURTLE ST     ,False,SIMPLE ASSAULT,43.0680199980001,-76.1604964969999,37
-8471794.9082423,5319405.39872941,2024/01/31 05:00:00+00,2211,2211,100 W  FAYETTE ST   ,False,OFFN AGAINST FAMILY,43.048818,-76.1034284999999,38
-8476521.65148609,5316080.13570293,2024/01/06 05:00:00+00,2053,2053,100 E  BEARD AVE  ,False,SIMPLE ASSAULT,43.026984962,-76.145889557,39
-8476972.82782379,5320907.67627197,2024/01/21 05:00:00+00,430,440,800 N  TOWNSEND ST     ,False,SIMPLE ASSAULT,43.058679118,-76.149942543,40
-8473266.66323007,5322855.42529236,2024/02/14 05:00:00+00,1906,1906,300 VILLAGE DR     ,True,CRIMINAL MISCHIEF,43.0714620000001,-76.1166494999999,41
-8476149.40478617,5314953.35937398,2024/01/13 05:00:00+00,100,1400,2900 S  SALINA ST     ,False,CRIMINAL MISCHIEF,43.019585003,-76.142545608,42
-8478613.17139364,5323096.81029663,2024/01/31 05:00:00+00,2340,2350,300 HIAWATHA BLVD E ,False,SIMPLE ASSAULT,43.073046,-76.164678,43
-8477940.8270501,5319135.05848158,2023/08/28 04:00:00+00,800,800,400 S  WEST ST     ,False,FORGERY/COUNTERFEIT,43.0470432880001,-76.158638228,44
-8476569.21162533,5317538.47028326,2024/01/06 05:00:00+00,2140,2140,100 DANFORTH TER  ,False,SIMPLE ASSAULT,43.0365610630001,-76.1463167969999,45
-8475358.87432035,5315635.76287876,2024/01/21 05:00:00+00,923,923,300 JAMESVILLE AVE    ,False,SIMPLE ASSAULT,43.024066707,-76.1354441519999,46
-8476767.21593756,5322038.05422117,2024/02/15 05:00:00+00,44,44,500 CARBON ST     ,False,CRIMINAL MISCHIEF,43.0660980000001,-76.1480955,47
-8475835.97273733,5310161.32969638,2024/01/13 05:00:00+00,2119,2119,200 MAPLEWOOD AVE    ,False,SIMPLE ASSAULT,42.9881040000001,-76.13973,48
-8477920.37454269,5318626.71364986,2024/01/31 05:00:00+00,1350,1353,300 GIFFORD ST   ,False,SIMPLE ASSAULT,43.043706,-76.1584544999999,49
-8475391.39630959,5316162.65669871,2023/11/09 05:00:00+00,1630,1630,100 JAMESVILLE AVE  ,False,CRIMINAL MISCHIEF,43.0275268730001,-76.1357363019999,50
-8476116.2035254,5313612.55726969,2024/01/06 05:00:00+00,2205,2205,100 BALLANTYNE RD   ,False,OFFN AGAINST FAMILY,43.0107782950001,-76.142247356,51
-8477387.8778698,5312484.50493932,2024/02/15 05:00:00+00,139,139,1500 VALLEY DR     ,True,CRIMINAL MISCHIEF,43.0033680000001,-76.153671001,52
-8471863.70379893,5322484.62756154,2024/01/21 05:00:00+00,900,926,100 RIGI AVE    ,False,SIMPLE ASSAULT,43.0690286970001,-76.104046501,53
-8477172.9754815,5313625.75697986,2024/02/15 05:00:00+00,830,840,200 ATLANTIC AVE  ,False,SIMPLE ASSAULT,43.0108650000001,-76.1517405,54
-8477384.62199734,5319378.88703025,2024/01/25 05:00:00+00,1449,1449,300 S  CLINTON ST     ,False,ALL OTHER OFFENSES,43.04864396,-76.153641753,55
-8477878.97738441,5324057.68640869,2024/01/21 05:00:00+00,1157,1157,1000 WOLF ST     ,False,SIMPLE ASSAULT,43.079350989,-76.158082623,56
-8478094.14315463,5323699.81272455,2024/01/13 05:00:00+00,2038,2038,3100 GRANT BLVD   ,False,CRIMINAL MISCHIEF,43.077002802,-76.16001549,57
-8477305.22303657,5310969.44431058,2023/12/31 05:00:00+00,2310,910,2200 VALLEY DR     ,False,CRIMINAL MISCHIEF,42.993414,-76.1529285,58
-8472898.47401428,5319247.73718003,2024/02/01 05:00:00+00,49,49,2100 E  FAYETTE ST   ,False,OFFN AGAINST FAMILY,43.047783,-76.113342,59
,,2024/01/21 05:00:00+00,2016,2016,0 PRESIDENTIAL PLZ    ,False,SIMPLE ASSAULT,,,60
,,2024/01/30 05:00:00+00,145,145,4900 BROAD RD     ,False,ALL OTHER OFFENSES,,,61
-8477395.8926505,5319260.07581403,2024/01/07 05:00:00+00,142,142,400 S  CLINTON ST   ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0478640000001,-76.153742999,62
-8477382.0499605,5318739.12727371,2024/01/25 05:00:00+00,1636,1636,100 DICKERSON ST     ,False,SIMPLE ASSAULT,43.044444012,-76.153618648,63
-8475247.28421188,5320986.61381146,2024/01/21 05:00:00+00,1424,1424,1000 JAMES ST     ,True,ALL OTHER OFFENSES,43.0591972290001,-76.134441721,64
-8476022.82250263,5321743.21476176,2024/02/15 05:00:00+00,909,909,900 HIGHLAND ST   ,False,SIMPLE ASSAULT,43.0641630000001,-76.1414085,65
-8477971.62258535,5315912.23968633,2024/01/13 05:00:00+00,1914,1914,100 W  BISSELL ST     ,False,SIMPLE ASSAULT,43.0258823830001,-76.1589148689999,66
-8475122.68664354,5314787.95851495,2023/12/27 05:00:00+00,1200,1850,100 REMINGTON AVE    ,False,CRIMINAL MISCHIEF,43.0184986790001,-76.133322442,67
-8479033.45813113,5319617.90328794,2024/01/07 05:00:00+00,158,158,200 RICHMOND AVE  ,False,SIMPLE ASSAULT,43.050213,-76.1684534999999,68
-8480678.03662837,5319990.82619624,2024/02/01 05:00:00+00,347,347,1800 E  FAYETTE ST   ,True,CRIMINAL MISCHIEF,43.0526610000001,-76.183227,69
-8477254.24193805,5316272.11340498,2024/01/21 05:00:00+00,2113,2113,1100 MIDLAND AVE    ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0282456620001,-76.152470529,70
-8477364.16214284,5316608.85458953,2024/01/30 05:00:00+00,300,855,900 MIDLAND AVE  ,False,CRIMINAL MISCHIEF,43.0304569480001,-76.153457959,71
-8480678.03662837,5319990.82619624,2024/01/13 05:00:00+00,1530,1547,1800 W  FAYETTE ST     ,False,OFFN AGAINST FAMILY,43.0526610000001,-76.183227,72
-8477092.82544813,5318776.13938196,2024/01/01 05:00:00+00,153,153,100 ONONDAGA AVE    ,False,CRIMINAL MISCHIEF,43.0446870000001,-76.1510205,73
-8471858.51441823,5320115.25642467,2024/01/06 05:00:00+00,1650,1658,2500 ERIE BLVD E ,False,CRIMINAL MISCHIEF,43.0534777830001,-76.103999884,74
-8471214.32143807,5318238.76625264,2024/02/01 05:00:00+00,1005,1005,3100 E  GENESEE ST   ,False,OFFN AGAINST FAMILY,43.0411590000001,-76.098213,75
-8473999.64497005,5317537.24395687,2024/01/21 05:00:00+00,1735,1735,800 LANCASTER AVE    ,False,CRIMINAL MISCHIEF,43.0365530110001,-76.1232339869999,76
-8474413.8105827,5320917.71378092,2024/02/15 05:00:00+00,0,900,200 PATTISON ST   ,False,CRIMINAL MISCHIEF,43.058745,-76.1269545,77
-8476022.82250263,5321743.21476176,2024/01/13 05:00:00+00,2326,2326,900 HIGHLAND ST     ,False,SIMPLE ASSAULT,43.0641630000001,-76.1414085,78
-8474889.71810377,5311719.9175007,2023/12/27 05:00:00+00,1300,1400,200 LAFAYETTE RD   ,False,CRIMINAL MISCHIEF,42.9983448360001,-76.13122965,79
-8472898.47401428,5319247.73718003,2024/01/07 05:00:00+00,430,430,2100 E  FAYETTE ST   ,True,CRIMINAL MISCHIEF,43.047783,-76.113342,80
-8478260.40471406,5318952.18469559,2024/01/25 05:00:00+00,1904,1904,0 STONE CT     ,False,OFFN AGAINST FAMILY,43.0458427410001,-76.161509043,81
-8478287.31831603,5322714.59114861,2024/01/22 05:00:00+00,100,115,100 LACY PL     ,True,CRIMINAL MISCHIEF,43.070537809,-76.161750812,82
-8477382.0499605,5318739.12727371,2024/01/30 05:00:00+00,1403,1403,100 DICKERSON ST   ,False,ALL OTHER OFFENSES,43.044444012,-76.153618648,83
-8478888.18619564,5317945.41743032,2024/01/14 05:00:00+00,814,814,200 SABINE ST   ,False,POSSESSION/USE DRUG,43.0392330000001,-76.1671484999999,84
-8477395.8926505,5319260.07581403,2024/01/01 05:00:00+00,303,303,400 S  CLINTON ST     ,False,SIMPLE ASSAULT,43.0478640000001,-76.153742999,85
-8478137.92199341,5316115.15188595,2024/01/07 05:00:00+00,1052,1052,0 CENTENNIAL DR   ,False,SIMPLE ASSAULT,43.027214912,-76.160408762,86
-8476480.67956826,5310988.62075963,2024/02/01 05:00:00+00,1537,1537,200 ROSEMONT DR   ,False,OFFN AGAINST FAMILY,42.9935400000001,-76.1455215,87
-8473490.58238581,5320773.73852276,2024/01/22 05:00:00+00,853,853,600 ROBINSON ST     ,False,SIMPLE ASSAULT,43.0578,-76.118661,88
-8473490.58238581,5320773.73852276,2024/02/15 05:00:00+00,1141,1141,600 ROBINSON ST   ,False,SIMPLE ASSAULT,43.0578,-76.118661,89
-8478243.98030242,5314720.55820414,2024/01/14 05:00:00+00,235,235,100 VALLEY DR     ,False,CRIMINAL MISCHIEF,43.0180560000001,-76.1613614999999,90
-8472327.38142678,5319471.0281519,2023/12/29 05:00:00+00,830,1430,100 RIDGEWAY AVE    ,True,CRIMINAL MISCHIEF,43.049248832,-76.1082117879999,91
-8477732.64368362,5313466.56580548,2024/01/07 05:00:00+00,1304,1326,700 VALLEY DR   ,True,CRIMINAL MISCHIEF,43.009819312,-76.156768085,92
-8476188.69678155,5312296.9481572,2024/01/25 05:00:00+00,1955,1955,100 SEELEY AVE    ,True,CRIMINAL MISCHIEF,43.0021358330001,-76.142898574,93
-8476428.08110886,5318452.61512264,2024/01/22 05:00:00+00,915,915,100 WEISER CT     ,False,CRIMINAL MISCHIEF,43.042563,-76.145049,94
-8477382.0499605,5318739.12727371,2024/01/30 05:00:00+00,1417,1417,100 DICKERSON ST   ,False,ALL OTHER OFFENSES,43.044444012,-76.153618648,95
-8473321.69068077,5322569.81180115,2024/01/14 05:00:00+00,0,900,200 GRANT BLVD ,False,CRIMINAL MISCHIEF,43.0695877140001,-76.11714382,96
-8474136.40096449,5317527.64900924,2023/12/31 05:00:00+00,2140,2140,800 ACKERMAN AVE    ,False,CRIMINAL MISCHIEF,43.0364900110001,-76.124462487,97
-8473513.09051893,5322174.94654607,2024/01/01 05:00:00+00,44,44,100 PECK AVE    ,False,SIMPLE ASSAULT,43.0669963890001,-76.118863194,98
-8478280.04781744,5318991.37147095,2024/01/01 05:00:00+00,439,439,300 OTISCO ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0461000000001,-76.1616855,99
-8477219.22449978,5322743.65776707,2024/01/01 05:00:00+00,158,158,800 KIRKPATRICK ST     ,False,SIMPLE ASSAULT,43.070728553,-76.1521559619999,100
-8477455.52961866,5314517.07670576,2024/01/01 05:00:00+00,325,325,100 BERGER AVE    ,False,CRIMINAL MISCHIEF,43.0167195330001,-76.154278727,101
-8476504.12289643,5320482.09578466,2024/01/01 05:00:00+00,400,415,600 HICKORY ST     ,False,SIMPLE ASSAULT,43.055885721,-76.145732095,102
-8476908.49539951,5321811.27278697,2024/01/01 05:00:00+00,446,446,100 NEUTRAL CT     ,False,SIMPLE ASSAULT,43.0646096630001,-76.149364635,103
-8476574.85596879,5315089.17469879,2024/01/01 05:00:00+00,1202,1202,200 W  BRIGHTON AVE    ,False,OFFN AGAINST FAMILY,43.020477,-76.146367501,104
-8477972.16459995,5322229.47187567,2024/01/01 05:00:00+00,559,559,300 COURT ST     ,False,SIMPLE ASSAULT,43.0673542210001,-76.158919738,105
-8480398.81172322,5320972.73835883,2024/01/01 05:00:00+00,757,757,500 STATE FAIR BLVD   ,False,SIMPLE ASSAULT,43.059106157,-76.18071868,106
-8479353.55732691,5318943.38936565,2024/01/01 05:00:00+00,1419,1425,200 N  GEDDES ST     ,True,CRIMINAL MISCHIEF,43.0457850000001,-76.171329,107
-8476893.06763128,5320467.80410322,2024/01/01 05:00:00+00,932,932,300 PROSPECT AVE    ,False,SIMPLE ASSAULT,43.0557919120001,-76.149226045,108
-8480503.44402956,5316508.01077735,2024/01/01 05:00:00+00,1100,939,200 REED AVE    ,True,CRIMINAL MISCHIEF,43.029794743,-76.181658608,109
-8480706.32558265,5319192.54057648,2024/01/01 05:00:00+00,1242,1242,400 TOMPKINS ST     ,False,SIMPLE ASSAULT,43.0474206470001,-76.183481124,110
-8479154.18423022,5315339.95184841,2024/01/01 05:00:00+00,2230,730,100 WELLESLEY RD     ,False,CRIMINAL MISCHIEF,43.0221240000001,-76.169538001,111
-8475673.80706725,5315954.23689619,2024/01/01 05:00:00+00,1244,1244,100 BENEDICT AVE    ,False,SIMPLE ASSAULT,43.0261581820001,-76.138273241,112
-8477868.08933634,5313165.07018323,2024/01/01 05:00:00+00,1436,1436,100 MAINS AVE    ,False,SIMPLE ASSAULT,43.007838812,-76.157984814,113
-8471775.87260938,5321732.24417076,2024/01/01 05:00:00+00,2206,2206,900 GLENCOVE RD     ,False,CRIMINAL MISCHIEF,43.0640910000001,-76.1032575,114
-8476998.42763313,5321366.3183482,2024/01/01 05:00:00+00,1600,1400,600 E  DIVISION ST     ,True,CRIMINAL MISCHIEF,43.0616893800001,-76.1501725099999,115
-8476158.6831544,5313327.15366085,2024/01/01 05:00:00+00,1808,1808,100 DAWES AVE    ,False,KIDNAPPING,43.0089035330001,-76.1426289569999,116
-8476196.69375113,5312438.07261529,2024/01/01 05:00:00+00,1816,1816,100 MINERVA ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0030629620001,-76.142970412,117
-8476337.41149493,5318299.08210511,2024/01/01 05:00:00+00,2349,2351,1000 S  MCBRIDE ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0415550000001,-76.144234501,118
-8471046.5073057,5321840.57932147,2024/01/01 05:00:00+00,2030,2045,1200 N  GLENCOVE RD     ,False,CRIMINAL MISCHIEF,43.064802,-76.0967055,119
-8477985.76606061,5322238.15266445,2024/01/01 05:00:00+00,1900,1900,1300 N  SALINA ST     ,False,SIMPLE ASSAULT,43.06741119,-76.159041922,120
-8476040.66312082,5321574.40713318,2024/01/01 05:00:00+00,1908,1908,600 PARK ST     ,False,OFFN AGAINST FAMILY,43.063055106,-76.141568765,121
-8475550.63494498,5315835.05822413,2024/01/01 05:00:00+00,2237,2237,200 MOORE AVE    ,False,SIMPLE ASSAULT,43.025375523,-76.1371667669999,122
-8478420.31037584,5317664.41434322,2024/01/02 05:00:00+00,205,205,700 W  ONONDAGA ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0373880000001,-76.1629455,123
-8478154.81327898,5319144.91586366,2024/01/02 05:00:00+00,1320,1320,200 WYOMING ST     ,True,CRIMINAL MISCHIEF,43.047108,-76.160560499,124
-8479353.55732691,5318943.38936565,2024/01/02 05:00:00+00,1355,1355,200 S  GEDDES ST     ,False,OFFN AGAINST FAMILY,43.0457850000001,-76.171329,125
-8475438.52497449,5321612.8164081,2024/01/02 05:00:00+00,21,21,300 PARK ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.06330719,-76.136159666,126
-8476908.49539951,5321811.27278697,2024/01/02 05:00:00+00,26,26,100 NEUTRAL CT     ,False,OFFN AGAINST FAMILY,43.0646096630001,-76.149364635,127
-8477788.62614423,5313611.74341122,2024/01/02 05:00:00+00,123,123,600 VALLEY DR     ,False,SIMPLE ASSAULT,43.0107729490001,-76.157270984,128
-8475009.78953293,5316023.33667224,2024/01/02 05:00:00+00,130,130,200 ROBERT DR     ,True,CRIMINAL MISCHIEF,43.0266119630001,-76.13230827,129
-8475122.68664354,5314787.95851495,2024/01/02 05:00:00+00,156,156,100 REMINGTON AVE    ,True,CRIMINAL MISCHIEF,43.0184986790001,-76.133322442,130
-8477382.0499605,5318739.12727371,2024/01/02 05:00:00+00,341,341,100 DICKERSON ST     ,False,SIMPLE ASSAULT,43.044444012,-76.153618648,131
-8476833.8406528,5322737.47807061,2024/01/02 05:00:00+00,1916,1916,700 FIRST NORTH ST     ,False,SIMPLE ASSAULT,43.0706880000001,-76.148694,132
-8477468.04048227,5313466.39301929,2024/01/02 05:00:00+00,654,654,1000 BALLANTYNE RD     ,False,CRIMINAL MISCHIEF,43.0098181770001,-76.154391114,133
-8472254.76905877,5322046.28243259,2024/01/02 05:00:00+00,2324,2324,200 S  COLLINGWOOD AVE    ,False,SIMPLE ASSAULT,43.066152,-76.1075595,134
-8477237.25647619,5321831.66303209,2024/01/02 05:00:00+00,946,946,300 POND ST     ,False,OFFN AGAINST FAMILY,43.064743483,-76.152317946,135
-8476915.91885107,5322457.22041685,2024/01/02 05:00:00+00,1230,1232,100 LAWRENCE ST     ,False,OFFN AGAINST FAMILY,43.0688488380001,-76.149431321,136
-8478137.92199341,5316115.15188595,2024/01/02 05:00:00+00,1245,1245,0 CENTENNIAL DR     ,False,OFFN AGAINST FAMILY,43.027214912,-76.160408762,137
-8476196.69375113,5312438.07261529,2024/01/02 05:00:00+00,1545,1415,100 MINERVA ST     ,False,CRIMINAL MISCHIEF,43.0030629620001,-76.142970412,138
-8475659.64266391,5315523.5852847,2024/01/02 05:00:00+00,0,900,100 JERICHO DR     ,False,CRIMINAL MISCHIEF,43.02333,-76.1381459999999,139
-8480019.59497603,5317415.41398325,2024/01/02 05:00:00+00,1924,1924,200 ARTHUR ST     ,False,SIMPLE ASSAULT,43.035753076,-76.177312118,140
-8478368.16966219,5317037.26572428,2024/01/02 05:00:00+00,2327,2327,200 PALMER AVE    ,False,SIMPLE ASSAULT,43.03327009,-76.162477112,141
-8476427.07923344,5318085.23674849,2024/01/03 05:00:00+00,247,247,100 RADISSON CT     ,False,SIMPLE ASSAULT,43.040151,-76.1450399999999,142
,,2024/01/02 05:00:00+00,820,820,0 NURSERY LN     ,False,CRIMINAL MISCHIEF,,,143
-8475391.39630959,5316162.65669871,2024/01/02 05:00:00+00,1310,1310,100 JAMESVILLE AVE    ,False,CRIMINAL MISCHIEF,43.0275268730001,-76.1357363019999,144
-8474712.36945701,5319092.8201619,2024/01/03 05:00:00+00,616,616,1400 E  GENESEE ST     ,False,DRIVING UNDER INFLUENCE,43.046766,-76.1296364999999,145
-8477732.64368362,5313466.56580548,2024/01/03 05:00:00+00,12,12,700 VALLEY DR     ,True,CRIMINAL MISCHIEF,43.009819312,-76.156768085,146
-8479660.77663496,5317441.63196223,2023/01/10 05:00:00+00,2050,2055,1200 S  GEDDES ST     ,False,SIMPLE ASSAULT,43.035925224,-76.174088798,147
-8479620.05618786,5322321.931704,2024/01/03 05:00:00+00,1156,1156,1 DESTINY USA DR,False,OFFN AGAINST FAMILY,43.067961,-76.1737229999999,148
-8476902.63843582,5321295.51190471,2024/01/03 05:00:00+00,950,950,100 JOHN ST     ,True,CRIMINAL MISCHIEF,43.061224657,-76.149312021,149
-8479283.80954335,5319897.04291009,2024/01/03 05:00:00+00,1152,1152,700 PARK AVE    ,False,POSSESSION/USE DRUG,43.0520453820001,-76.170702445,150
-8473490.58238581,5320773.73852276,2024/01/03 05:00:00+00,1339,1339,600 ROBINSON ST     ,False,SIMPLE ASSAULT,43.0578,-76.118661,151
-8476698.05914919,5319369.52097249,2024/01/03 05:00:00+00,926,926,300 S  STATE ST     ,False,SIMPLE ASSAULT,43.048582475,-76.147474254,152
-8474016.83737485,5319475.94818358,2023/01/03 05:00:00+00,1431,1431,1600 ERIE BLVD E ,False,SIMPLE ASSAULT,43.0492811300001,-76.123388429,153
-8476836.51387905,5323221.33798711,2024/01/03 05:00:00+00,1400,1604,2400 GRANT BLVD   ,False,SIMPLE ASSAULT,43.0738631510001,-76.1487180139999,154
-8476085.68595492,5313880.53094578,2024/01/03 05:00:00+00,1629,1629,100 HALL AVE    ,False,OFFN AGAINST FAMILY,43.0125385110001,-76.141973212,155
-8473285.1979253,5318278.51983894,2024/01/03 05:00:00+00,1843,1843,600 ALLEN ST     ,False,DRIVING UNDER INFLUENCE,43.0414200000001,-76.116816,156
-8472032.00985213,5323201.90722341,2024/01/03 05:00:00+00,2114,2114,300 N  MIDLER AVE    ,True,CRIMINAL MISCHIEF,43.073735647,-76.10555842,157
-8469538.18386519,5317789.15125608,2024/01/03 05:00:00+00,2357,2357,200 DEWITT ST     ,False,DRIVING UNDER INFLUENCE,43.0382070000001,-76.083156,158
-8476769.7206261,5319449.27024237,2024/01/03 05:00:00+00,1608,1608,300 E  WASHINGTON ST     ,False,POSSESSION/USE DRUG,43.0491060000001,-76.148118,159
-8477361.82688257,5321634.62887654,2024/01/03 05:00:00+00,2049,2049,2000 LODI ST     ,False,SIMPLE ASSAULT,43.0634503470001,-76.153436981,160
-8475238.85498871,5314630.11920283,2024/01/03 05:00:00+00,2315,1115,200 IVY RIDGE RD     ,False,CRIMINAL MISCHIEF,43.0174620000001,-76.1343659999999,161
-8476128.43531105,5320221.50444223,2024/01/03 05:00:00+00,2359,1900,100 WAYNE ST     ,False,CRIMINAL MISCHIEF,43.054175206,-76.142357236,162
-8474889.71810377,5311719.9175007,2024/01/04 05:00:00+00,41,41,200 LAFAYETTE RD     ,False,SIMPLE ASSAULT,42.9983448360001,-76.13122965,163
-8476738.66248818,5319966.14701444,2024/01/04 05:00:00+00,1107,1107,400 JAMES ST     ,False,OFFN AGAINST FAMILY,43.0524990000001,-76.147839,164
-8476022.82250263,5321743.21476176,2024/01/04 05:00:00+00,1040,1100,900 HIGHLAND ST     ,False,OFFN AGAINST FAMILY,43.0641630000001,-76.1414085,165
-8476182.40633977,5324193.80773337,2024/01/04 05:00:00+00,1050,1052,1900 COURT ST     ,False,SIMPLE ASSAULT,43.080244125,-76.142842066,166
