X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,LAT,LONG,CRIME_WEIGHT
-8479620.05618786,5322321.931704,2023/11/17 00:00:00+00,1817,1817,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477214.12551051,5319659.62634555,2023/02/13 00:00:00+00,2310,800,100 E WATER ST     ,MV THEFT,43.0504868900001,-76.152110157,2
-8476673.14974333,5315616.18556417,2023/01/03 00:00:00+00,2242,2242,100 FAGE AV   ,LARCENY,43.0239381370001,-76.147250489,12
-8479796.48066022,5320122.57360737,2023/07/24 00:00:00+00,2109,2109,100 EUREKA ST     ,LARCENY,43.0535258140001,-76.175307848,22
-8476673.14974333,5315616.18556417,2023/06/03 00:00:00+00,2300,1700,100 FAGE AV   ,BURGLARY,43.0239381370001,-76.147250489,12
-8477092.82544813,5318776.13938196,2023/08/31 00:00:00+00,0457,457,100 E ONONDAGA ST     ,LARCENY,43.0446870000001,-76.1510205,2
-8476232.71540252,5311085.87335652,2023/08/06 00:00:00+00,2230,2230,100 E WARRINGTON RD     ,MV THEFT,42.994179,-76.143294,2
-8473286.19980071,5322681.24794269,2023/09/20 00:00:00+00,2230,800,100 EDTIM RD     ,MV THEFT,43.070319,-76.1168249999999,37
-8480691.06100879,5319229.91473747,2023/07/31 00:00:00+00,0106,110,100 EMERSON AV   ,LARCENY,43.047666,-76.183344,2
-8469837.74461491,5318558.17053548,2023/10/20 00:00:00+00,1220,1220,100 GIFFORD ST     ,MV THEFT,43.043256,-76.0858469999999,100
-8475269.63249021,5313888.93999601,2023/07/20 00:00:00+00,0200,215,100 BALL CIR    ,BURGLARY,43.0125937460001,-76.134642479,15
-8479620.05618786,5322321.931704,2023/01/12 00:00:00+00,1415,1415,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/30 00:00:00+00,1525,1525,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/12 00:00:00+00,1512,1512,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/13 00:00:00+00,1314,1314,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/12 00:00:00+00,1557,1557,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477709.98070509,5316681.65535956,2023/07/28 00:00:00+00,1010,1011,100 BALLARD AV   ,LARCENY,43.0309350000001,-76.1565644999999,2
-8479620.05618786,5322321.931704,2023/09/17 00:00:00+00,1523,1523,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8475007.42176736,5317812.45394086,2023/02/16 00:00:00+00,1100,1220,100 COLLEGE PL     ,LARCENY,43.0383600000001,-76.132287,2
-8478863.64024793,5317982.42822272,2023/08/13 00:00:00+00,0859,859,100 DAVIS ST     ,LARCENY,43.039476,-76.166928,49
-8479620.05618786,5322321.931704,2023/01/30 00:00:00+00,1233,1233,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/27 00:00:00+00,1835,1835,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/03/27 00:00:00+00,1322,1322,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/20 00:00:00+00,1803,1803,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8476213.67988091,5320348.68165837,2023/03/28 00:00:00+00,1531,1531,0 CATHERINE ST & JAMES ST    ,LARCENY,43.05501,-76.1431230009999,2
-8478480.42301219,5316792.67316352,2023/12/01 00:00:00+00,0830,830,0 COOLIDGE AV & STERLING AV        ,MV THEFT,43.031664,-76.163485501,2
-8473479.56175622,5322656.56165201,2023/02/28 00:00:00+00,0250,250,0 GRANT BLVD & VILLAGE DR    ,MV THEFT,43.0701570000001,-76.1185619999999,2
-8479620.05618786,5322321.931704,2023/11/22 00:00:00+00,1607,1607,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/22 00:00:00+00,1426,1426,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/21 00:00:00+00,1606,1608,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8475532.6841205,5315674.15582172,2023/10/27 00:00:00+00,2159,2159,0 MOORE AV   ,BURGLARY,43.024318844,-76.137005512,10
-8477205.53643256,5320761.3978896,2023/03/30 00:00:00+00,0852,852,0 N SALINA ST & BUTTERNUT ST        ,MV THEFT,43.0577190000001,-76.152033,2
-8479620.05618786,5322321.931704,2023/07/25 00:00:00+00,1918,1930,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/26 00:00:00+00,1445,1445,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/20 00:00:00+00,1522,1522,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/19 00:00:00+00,1756,1756,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/20 00:00:00+00,1835,1835,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/31 00:00:00+00,1825,1825,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/20 00:00:00+00,1207,1207,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/15 00:00:00+00,1353,1353,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/27 00:00:00+00,1721,1721,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/03 00:00:00+00,1651,1651,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/02 00:00:00+00,1430,1439,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/18 00:00:00+00,1855,1855,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/09 00:00:00+00,1755,1755,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/03/30 00:00:00+00,1635,1635,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/18 00:00:00+00,1730,1730,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/18 00:00:00+00,1608,1608,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/12 00:00:00+00,1329,1329,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/03/01 00:00:00+00,1842,1842,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/19 00:00:00+00,1234,1234,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/03/01 00:00:00+00,1539,1539,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/03/01 00:00:00+00,1521,1521,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/10 00:00:00+00,1610,1610,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/20 00:00:00+00,1652,1652,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/19 00:00:00+00,1815,1815,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/20 00:00:00+00,1653,1653,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/28 00:00:00+00,1116,1116,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/26 00:00:00+00,1144,1144,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/11 00:00:00+00,1452,1452,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/27 00:00:00+00,1835,1835,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/10 00:00:00+00,1723,1723,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/02 00:00:00+00,1228,1228,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/07 00:00:00+00,1433,1433,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/10 00:00:00+00,1729,1729,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/10 00:00:00+00,1254,1254,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/02 00:00:00+00,1521,1521,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/02 00:00:00+00,1647,1647,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/03 00:00:00+00,1440,1441,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/04 00:00:00+00,1425,1425,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/04 00:00:00+00,1736,1736,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/06 00:00:00+00,1110,1110,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/04 00:00:00+00,1301,1301,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/16 00:00:00+00,1800,1800,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/25 00:00:00+00,1346,1346,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/16 00:00:00+00,1035,1035,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/28 00:00:00+00,1259,1259,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/01 00:00:00+00,1559,1559,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/13 00:00:00+00,2029,2029,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/28 00:00:00+00,1809,1809,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/18 00:00:00+00,1817,1424,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/03 00:00:00+00,1718,1718,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/20 00:00:00+00,1830,1830,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/19 00:00:00+00,1633,1633,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8476191.45238423,5320982.62129534,2023/06/21 00:00:00+00,0300,451,100 BEECHER ST     ,MV THEFT,43.0591710240001,-76.1429233279999,22
-8475673.80706725,5315954.23689619,2023/01/21 00:00:00+00,1748,1753,100 BENEDICT AV   ,MV THEFT,43.0261581820001,-76.138273241,2
-8476160.3371394,5323616.69218869,2023/07/31 00:00:00+00,1730,1000,100 BRIGGS ST     ,MV THEFT,43.076457394,-76.142643815,12
-8476775.57224646,5319925.88413564,2023/02/04 00:00:00+00,1632,1632,100 BURNET AV   ,MV THEFT,43.0522347040001,-76.148170566,2
-8472854.79580832,5319656.86237193,2023/08/07 00:00:00+00,1609,1609,100 CROLY ST     ,LARCENY,43.050468746,-76.112949632,99
-8479620.05618786,5322321.931704,2023/06/26 00:00:00+00,1225,1225,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/06 00:00:00+00,1218,1218,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/07 00:00:00+00,1440,1440,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/20 00:00:00+00,1637,1637,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/01/19 00:00:00+00,1835,1835,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/02 00:00:00+00,1320,1411,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/21 00:00:00+00,1913,1913,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/04 00:00:00+00,1844,1844,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/10 00:00:00+00,1326,1600,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/04 00:00:00+00,1915,1930,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/04 00:00:00+00,0900,1500,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/10 00:00:00+00,1847,1847,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/22 00:00:00+00,1820,1830,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/10 00:00:00+00,1545,1545,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/06 00:00:00+00,1223,1223,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/10 00:00:00+00,1357,1357,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/10/21 00:00:00+00,1926,1926,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/09/07 00:00:00+00,1215,1215,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/07 00:00:00+00,1700,1700,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/16 00:00:00+00,1810,1810,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/12 00:00:00+00,1505,1547,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/30 00:00:00+00,1630,1630,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/04 00:00:00+00,1236,1900,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/01 00:00:00+00,1043,1043,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/30 00:00:00+00,1530,1530,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/05 00:00:00+00,1407,1407,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/07 00:00:00+00,1135,1147,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/03 00:00:00+00,1717,1717,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/11 00:00:00+00,2123,2123,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/05 00:00:00+00,1639,1639,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/02 00:00:00+00,1215,1215,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/25 00:00:00+00,1230,1300,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/01 00:00:00+00,1828,1828,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/28 00:00:00+00,1142,1142,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/01 00:00:00+00,1630,1630,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/31 00:00:00+00,1345,1345,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/24 00:00:00+00,1612,1612,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/22 00:00:00+00,2015,2015,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/25 00:00:00+00,1250,1315,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/23 00:00:00+00,0000,2359,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/02/23 00:00:00+00,1716,1716,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
